Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kun,2021-01-18 23:06:26,00:00:03,,Hunter X Hunter (2011): Season 4: Ging's Friends x and x True Friends (Episode 17),,Apple TV 4K,00:00:04,Not latest view,US (United States)
Kun,2021-01-18 22:46:39,00:19:18,,Hunter X Hunter (2011): Season 4: Bargain x and x Deal (Episode 13),,Apple TV 4K,00:22:01,00:22:01,US (United States)
Kun,2021-01-18 22:46:33,00:00:02,,Hunter X Hunter (2011): Season 4: Guts x and x Courage (Episode 12),,Apple TV 4K,00:23:00,00:23:00,US (United States)
Kun,2021-01-18 22:31:37,00:14:47,,Hunter X Hunter (2011): Season 4: Guts x and x Courage (Episode 12),,Apple TV 4K,00:22:00,Not latest view,US (United States)
Kun,2021-01-18 05:19:24,00:02:30,,Agatha and the Truth of Murder,,Apple TV 4K,00:02:57,00:02:57,US (United States)
Kun,2021-01-18 05:18:59,00:00:23,Autoplayed: user action: None; ,Agatha and the Nightingale's Cry_hook_primary_16x9,HOOK,Apple TV 4K,00:00:24,00:00:24,US (United States)
Kun,2021-01-18 05:17:15,00:00:44,Autoplayed: user action: None; ,Unknown_hook_primary_16x9,HOOK,Apple TV 4K,00:00:44,Not latest view,US (United States)
Kun,2021-01-18 05:15:32,00:00:03,,Enola Holmes,,Apple TV 4K,00:00:51,00:00:51,US (United States)
Kun,2021-01-18 05:15:09,00:00:11,Autoplayed: user action: None; ,The American President_hook_primary_16x9,HOOK,Apple TV 4K,00:00:12,00:00:12,US (United States)
Kun,2021-01-18 05:01:00,00:00:06,Autoplayed: user action: None; ,Part 1 Teaser 2: Lupin,TEASER_TRAILER,Apple TV 4K,00:00:07,00:00:07,US (United States)
Kun,2021-01-18 04:45:11,00:00:05,Autoplayed: user action: None; ,Sherlock Holmes_hook_primary_16x9,HOOK,Apple TV 4K,00:00:05,00:00:05,US (United States)
Kun,2021-01-18 04:44:48,00:00:10,Autoplayed: user action: None; ,The American President_hook_primary_16x9,HOOK,Apple TV 4K,00:00:11,Not latest view,US (United States)
Kun,2021-01-18 04:39:12,00:00:27,Autoplayed: user action: None; ,"Take the Ball, Pass the Ball_hook_05_16x9",HOOK,Apple TV 4K,00:00:28,00:00:28,US (United States)
Kun,2021-01-18 04:27:35,00:04:32,,Hunter X Hunter (2011): Season 4: Guts x and x Courage (Episode 12),,Apple TV 4K,00:07:13,Not latest view,US (United States)
Kun,2021-01-18 04:21:57,00:02:26,,Food Wars!: Shokugeki no Soma: Season 1: The Banquet of Warriors (Episode 24),,Apple TV 4K,00:09:55,00:09:55,US (United States)
Kun,2021-01-18 04:16:23,00:04:01,,Food Wars!: Shokugeki no Soma: Season 1: The Concerto of Inspiration and Imagination (Episode 8),,Apple TV 4K,00:15:13,00:15:13,US (United States)
Kun,2021-01-18 04:15:53,00:00:02,,What the Health,,Apple TV 4K,00:00:02,00:00:02,US (United States)
Kun,2021-01-18 04:15:34,00:00:18,Autoplayed: user action: None; ,What the Health_hook_primary_16x9,HOOK,Apple TV 4K,00:00:18,00:00:18,US (United States)
Kun,2021-01-18 04:12:56,00:01:53,,Raja Rasoi Aur Anya Kahaniyan: Season 1: Episode 3,,Apple TV 4K,00:06:27,00:06:27,US (United States)
Kun,2021-01-18 04:10:49,00:00:17,Autoplayed: user action: None; ,Street Food: Asia - India,PROMOTIONAL,Apple TV 4K,00:00:17,00:00:17,US (United States)
Kun,2021-01-18 04:09:27,00:00:14,Autoplayed: user action: None; ,Season 1: Volume 3 Trailer: The Chef Show,TRAILER,Apple TV 4K,00:00:14,00:00:14,US (United States)
Kun,2021-01-18 04:07:19,00:00:53,,Dream Home Makeover: Season 2: Luxury Estate (Episode 1),,Apple TV 4K,00:00:53,00:00:53,US (United States)
Kun,2021-01-18 04:06:30,00:00:22,Autoplayed: user action: None; ,Season 2 Trailer: Dream Home Makeover,TRAILER,Apple TV 4K,00:00:22,00:00:22,US (United States)
Kun,2021-01-18 02:36:44,00:19:39,,Headspace Guide to Meditation: Season 1: How to Get Started (Episode 1),,Apple TV 4K,00:18:38,00:18:38,US (United States)
Kun,2021-01-18 00:35:05,00:00:11,,Headspace Guide to Meditation: Season 1: How to Get Started (Episode 1),,Apple TV 4K,00:00:11,Not latest view,US (United States)
Kun,2021-01-18 00:34:26,00:00:21,Autoplayed: user action: None; ,Clip 6: Headspace Guide to Meditation: Season 1 (Informative),HOOK,Apple TV 4K,00:00:21,00:00:21,US (United States)
Anand,2021-01-17 20:16:25,00:00:37,Autoplayed: user action: None; ,Trailer: Pretend It's a City,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:37,00:00:37,US (United States)
Anand,2021-01-17 20:15:40,00:00:18,Autoplayed: user action: None; ,L.A.’s Finest: LA's Finest: Season 1_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:18,00:00:18,US (United States)
Anand,2021-01-17 20:15:07,00:00:08,Autoplayed: user action: None; ,The American President_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,US (United States)
Anand,2021-01-17 20:12:40,00:02:18,Autoplayed: user action: None; ,Trailer: Night Stalker: The Hunt for a Serial Killer,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:02:18,00:02:18,US (United States)
Anand,2021-01-17 20:10:24,00:00:04,Autoplayed: user action: None; ,Disenchantment: Part 1 Podular: TEXTLESS / Comedy - Adventure - Fantasy,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Kun,2021-01-17 11:28:58,01:01:14,,The Girl with the Dragon Tattoo,,Netflix Chrome MAC (Cadmium) HTML 5,02:33:12,02:33:12,US (United States)
Kun,2021-01-17 10:03:57,00:46:59,,The Girl with the Dragon Tattoo,,Netflix Chrome MAC (Cadmium) HTML 5,01:35:52,Not latest view,US (United States)
Kun,2021-01-17 09:27:38,00:28:13,,The Girl with the Dragon Tattoo,,Apple TV 4K,00:49:53,Not latest view,US (United States)
Kun,2021-01-17 09:25:01,00:01:37,,"Disenchantment: Part 1: A Princess, an Elf, and a Demon Walk Into a Bar (Episode 1)",,Apple TV 4K,00:04:49,00:04:49,US (United States)
Kun,2021-01-16 06:02:26,00:00:07,Autoplayed: user action: None; ,A Bridge Too Far_hook_primary_16x9,HOOK,Apple TV 4K,00:00:07,00:00:07,US (United States)
Kun,2021-01-16 06:02:02,00:00:05,Autoplayed: user action: None; ,The Angel (Trailer),TRAILER,Apple TV 4K,00:00:05,00:00:05,US (United States)
Kun,2021-01-16 06:00:59,00:00:35,Autoplayed: user action: None; ,TRIBHANGATEDHIMEDHICRAZY_CLIP_ACT2CONFLICT,HOOK,Apple TV 4K,00:00:35,00:00:35,US (United States)
Kun,2021-01-16 06:00:24,00:00:26,Autoplayed: user action: None; ,TRIBHANGATEDHIMEDHICRAZY_CLIP_ACT2CONFLICT,HOOK,Apple TV 4K,00:00:27,Not latest view,US (United States)
Anand,2021-01-16 04:25:07,00:00:05,Autoplayed: user action: None; ,Udta Punjab_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Anand,2021-01-16 04:24:23,00:00:06,Autoplayed: user action: None; ,Portrait Product Preview: Tribhanga - Tedhi Medhi Crazy,PREVIEW,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Anand,2021-01-15 09:34:38,00:07:31,,Bridgerton: Season 1: Diamond of the First Water (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:07:11,00:07:11,US (United States)
Anand,2021-01-15 09:34:24,00:00:11,Autoplayed: user action: None; ,OUTSIDETHEWIRE_CLIP_CLIFFHANGER,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,00:00:11,US (United States)
Anand,2021-01-15 09:33:40,00:00:10,,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",,Netflix Chrome MAC (Cadmium) HTML 5,00:00:10,00:00:10,US (United States)
Anand,2021-01-15 08:58:35,00:24:40,,Schitt's Creek: Season 6: Happy Ending (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,00:24:44,00:24:44,US (United States)
Anand,2021-01-15 08:34:06,00:24:28,,Schitt's Creek: Season 6: Start Spreading the News (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,00:24:28,00:24:28,US (United States)
Anand,2021-01-15 03:14:02,00:21:35,,Schitt's Creek: Season 6: The Pitch (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:29,00:21:29,US (United States)
Anand,2021-01-15 02:49:22,00:21:32,,Schitt's Creek: Season 6: The Bachelor Party (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:36,00:21:36,US (United States)
Anand,2021-01-15 02:03:56,00:21:25,,"Schitt's Creek: Season 6: Sunrise, Sunset (Episode 10)",,Netflix Chrome MAC (Cadmium) HTML 5,00:21:29,00:21:29,US (United States)
Anand,2021-01-15 01:42:09,00:21:36,,Schitt's Creek: Season 6: Rebound (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:36,00:21:36,US (United States)
Anand,2021-01-14 19:06:35,00:21:30,,Schitt's Creek: Season 6: The Presidential Suite (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:30,00:21:30,US (United States)
Kun,2021-01-14 07:31:32,00:00:04,Autoplayed: user action: None; ,Bobby Kennedy for President: Chapters 1-4_hook_07_16x9,HOOK,Apple TV 4K,00:00:04,00:00:04,US (United States)
Anand,2021-01-14 06:06:25,00:21:53,,Schitt's Creek: Season 6: Moira Rose (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:57,00:21:57,US (United States)
Anand,2021-01-14 05:36:52,00:21:31,,Schitt's Creek: Season 6: The Wingman (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:58,00:21:58,US (United States)
Kun,2021-01-14 04:21:11,00:00:06,Autoplayed: user action: None; ,Le Chant du Loup (Trailer),TRAILER,Apple TV 4K,00:00:06,00:00:06,US (United States)
Kun,2021-01-14 04:17:22,00:00:04,Autoplayed: user action: None; ,An Imperfect Murder_hook_primary_16x9,HOOK,Apple TV 4K,00:00:04,00:00:04,US (United States)
Kun,2021-01-14 04:08:42,00:01:09,Autoplayed: user action: None; ,Redemption_hook_02_16x9,HOOK,Apple TV 4K,00:01:09,00:01:09,US (United States)
Kun,2021-01-14 01:34:29,00:29:01,,The Girl with the Dragon Tattoo,,Netflix Chrome MAC (Cadmium) HTML 5,00:27:31,Not latest view,US (United States)
Kun,2021-01-14 01:34:21,00:00:06,Autoplayed: user action: None; ,The Girl with the Dragon Tattoo_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Kun,2021-01-13 21:52:59,00:05:11,,Queen,,Netflix Chrome MAC (Cadmium) HTML 5,00:53:56,00:53:56,US (United States)
Kun,2021-01-13 21:52:53,00:00:04,Autoplayed: user action: None; ,Queen_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Kun,2021-01-13 21:52:11,00:00:08,Autoplayed: user action: None; ,Aiyaary_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,US (United States)
Anand,2021-01-13 21:08:26,00:01:45,,Schitt's Creek: Season 6: The Wingman (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:49,Not latest view,US (United States)
Anand,2021-01-13 20:43:15,00:21:53,,Schitt's Creek: Season 6: The Premiere (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:57,00:21:57,US (United States)
Anand,2021-01-13 20:17:35,00:22:49,,Schitt's Creek: Season 6: Maid of Honour (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:27,00:21:27,US (United States)
Anand,2021-01-13 20:17:18,00:00:05,Autoplayed: user action: None; ,Schitt's Creek: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Kun,2021-01-13 11:17:24,00:00:20,Autoplayed: user action: None; ,Part 1 Trailer: Lupin,TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:20,00:00:20,IN (India)
Kun,2021-01-13 10:01:18,01:13:45,Autoplayed: user action: Unspecified; ,Is Love Enough? Sir,,Samsung 2018 Kant-S UHD TV Smart TV,01:36:32,01:36:32,IN (India)
Kun,2021-01-13 10:00:26,00:00:07,Autoplayed: user action: None; ,Interstellar_hook_primary_16x9,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:07,00:00:07,IN (India)
Kun,2021-01-13 09:59:59,00:00:05,Autoplayed: user action: None; ,Part 1 Teaser 3: Lupin,TEASER_TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:05,00:00:05,IN (India)
Kun,2021-01-13 09:55:29,00:00:28,Autoplayed: user action: None; ,Part 1 Trailer: Lupin,TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:28,Not latest view,IN (India)
Anand,2021-01-13 08:42:25,00:20:58,,Schitt's Creek: Season 6: The Job Interview (Episode 3),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:57,00:21:57,US (United States)
Kun,2021-01-13 08:37:25,00:00:24,Autoplayed: user action: None; ,The Girl with the Dragon Tattoo_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:28,Not latest view,US (United States)
Kun,2021-01-13 08:37:19,00:00:04,Autoplayed: user action: None; ,The Girl with the Dragon Tattoo_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,US (United States)
Kun,2021-01-13 08:36:42,00:00:34,Autoplayed: user action: None; ,BluffMaster!_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:34,00:00:34,US (United States)
Kun,2021-01-13 06:32:02,01:22:42,,Steve Jobs,,Netflix Chrome MAC (Cadmium) HTML 5,01:58:54,01:58:54,US (United States)
Kun,2021-01-13 06:19:46,00:07:53,,Steve Jobs,,Apple TV 4K,00:39:32,Not latest view,US (United States)
Kun,2021-01-13 05:54:06,00:25:30,,Steve Jobs,,Apple TV 4K,00:32:09,Not latest view,US (United States)
Kun,2021-01-13 05:47:13,00:06:39,,Steve Jobs,,Apple TV 4K,00:06:39,Not latest view,US (United States)
Kun,2021-01-13 05:46:10,00:00:06,Autoplayed: user action: None; ,Hunter X Hunter (2011): Season 1_hook_05_16x9,HOOK,Apple TV 4K,00:00:06,00:00:06,US (United States)
Anand,2021-01-13 05:37:55,00:04:22,,Schitt's Creek: Season 6: The Job Interview (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:38,Not latest view,US (United States)
Anand,2021-01-13 05:00:59,00:21:54,,Schitt's Creek: Season 6: The Incident (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:58,00:21:58,US (United States)
Anand,2021-01-13 04:37:19,00:21:55,,Schitt's Creek: Season 6: Smoke Signals (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:59,00:21:59,US (United States)
Kun,2021-01-13 04:29:44,00:01:51,Autoplayed: user action: None; ,Season 1 Trailer: Indian Matchmaking,TRAILER,Apple TV 4K,00:01:51,00:01:51,US (United States)
Kun,2021-01-13 04:27:51,00:01:08,Autoplayed: user action: None; ,Sir_hook_04_16x9,HOOK,Apple TV 4K,00:01:08,00:01:08,US (United States)
Anand,2021-01-13 04:14:17,00:21:52,,Schitt's Creek: Season 5: Life Is a Cabaret (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:57,00:21:57,US (United States)
Anand,2021-01-13 03:50:35,00:21:52,,Schitt's Creek: Season 5: The Hike (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:57,00:21:57,US (United States)
Anand,2021-01-13 03:27:20,00:21:55,,Schitt's Creek: Season 5: The Roast (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,00:22:00,00:22:00,US (United States)
Anand,2021-01-13 03:03:52,00:21:52,,Schitt's Creek: Season 5: Meet the Parents (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:57,00:21:57,US (United States)
Anand,2021-01-13 02:39:23,00:21:52,,Schitt's Creek: Season 5: Roadkill (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:57,00:21:57,US (United States)
Anand,2021-01-13 02:03:33,00:21:57,,Schitt's Creek: Season 5: The M.V.P (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:57,00:21:57,US (United States)
Anand,2021-01-13 02:03:26,00:00:04,,Schitt's Creek: Season 5: Roadkill (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,US (United States)
Anand,2021-01-13 02:03:16,00:00:08,,Schitt's Creek: Season 5: The Crowening (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,US (United States)
Anand,2021-01-13 02:03:07,00:00:04,Autoplayed: user action: None; ,Olympus Has Fallen_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Kun,2021-01-12 11:10:04,00:22:48,Autoplayed: user action: Unspecified; ,Is Love Enough? Sir,,Samsung 2018 Kant-S UHD TV Smart TV,00:22:48,Not latest view,IN (India)
Kun,2021-01-12 10:34:58,00:05:58,,Gurgaon,,Apple iPad 7th Gen 10.2 (Wi-Fi),00:06:06,Not latest view,IN (India)
Kun,2021-01-12 09:38:36,00:51:12,,Bad Boy Billionaires: India: Season 1: Diamonds Aren't Forever (Episode 2),,Apple iPad 7th Gen 10.2 (Wi-Fi),00:52:23,00:52:23,IN (India)
Anu,2021-01-12 08:49:15,00:04:16,,Schitt's Creek: Season 5: The M.V.P (Episode 9),,iPad Pro 10.5 (Wi-Fi/LTE),00:04:16,00:04:16,US (United States)
Kun,2021-01-12 07:08:42,00:58:23,,Bad Boy Billionaires: India: Season 1: The King of Good Times (Episode 1),,Apple iPad 7th Gen 10.2 (Wi-Fi),00:58:24,00:58:24,IN (India)
Anu,2021-01-12 05:34:59,00:20:05,,Schitt's Creek: Season 5: Housewarming (Episode 5),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:57,00:21:57,US (United States)
Anu,2021-01-12 00:55:11,00:01:54,,Schitt's Creek: Season 5: Housewarming (Episode 5),,iPad Pro 10.5 (Wi-Fi/LTE),00:01:51,Not latest view,US (United States)
Anu,2021-01-12 00:33:13,00:21:26,,Schitt's Creek: Season 5: The Dress (Episode 4),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:26,00:21:26,US (United States)
Anu,2021-01-12 00:31:05,00:01:51,,Schitt's Creek: Season 5: The Plant (Episode 3),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:36,00:21:36,US (United States)
Anu,2021-01-11 23:57:43,00:22:10,,Schitt's Creek: Season 5: The Plant (Episode 3),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:57,Not latest view,US (United States)
Anu,2021-01-11 23:36:16,00:21:25,,Schitt's Creek: Season 5: Love Letters (Episode 2),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:25,00:21:25,US (United States)
Anu,2021-01-11 23:35:52,00:00:10,,Schitt's Creek: Season 5: Love Letters (Episode 2),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:31,Not latest view,US (United States)
Anu,2021-01-11 23:14:24,00:21:27,,Schitt's Creek: Season 5: The Crowening (Episode 1),,iPad Pro 10.5 (Wi-Fi/LTE),00:21:27,00:21:27,US (United States)
Anu,2021-01-11 23:13:13,00:00:19,,Schitt's Creek: Season 5: The Crowening (Episode 1),,iPad Pro 10.5 (Wi-Fi/LTE),00:00:19,Not latest view,US (United States)
Anand,2021-01-11 17:24:22,00:25:23,Autoplayed: user action: Unspecified; ,"Schitt's Creek: Season 4: Merry Christmas, Johnny Rose (Episode 13)",,NVIDIA SHIELD Android TV 2019 Set Top Box,00:25:23,00:25:23,US (United States)
Anand,2021-01-11 08:19:54,00:21:56,,Schitt's Creek: Season 4: Singles Week (Episode 12),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:59,00:21:59,US (United States)
Anand,2021-01-11 08:00:41,00:19:11,,Schitt's Creek: Season 4: The Rollout (Episode 11),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:28,00:21:28,US (United States)
Anand,2021-01-11 07:42:09,00:02:17,Autoplayed: user action: Unspecified; ,Schitt's Creek: Season 4: The Rollout (Episode 11),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:02:17,Not latest view,US (United States)
Anand,2021-01-11 05:09:11,00:21:56,,Schitt's Creek: Season 4: Baby Sprinkle (Episode 10),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:59,00:21:59,US (United States)
Anand,2021-01-11 04:47:35,00:21:34,,Schitt's Creek: Season 4: The Olive Branch (Episode 9),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:38,00:21:38,US (United States)
Anand,2021-01-11 04:27:55,00:19:38,Autoplayed: user action: Unspecified; ,Schitt's Creek: Season 4: The Jazzaguy (Episode 8),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:36,00:21:36,US (United States)
Anand,2021-01-11 04:25:31,00:01:59,Autoplayed: user action: Unspecified; ,Schitt's Creek: Season 4: The Jazzaguy (Episode 8),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:01:59,Not latest view,US (United States)
Anand,2021-01-11 04:25:05,00:00:07,Autoplayed: user action: None; ,Raman Raghav 2.0_hook_primary_16x9,HOOK,NVIDIA SHIELD Android TV 2019 Set Top Box,00:00:07,00:00:07,US (United States)
Anand,2021-01-11 03:04:43,00:21:56,,Schitt's Creek: Season 4: The Barbecue (Episode 7),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:59,00:21:59,US (United States)
Anand,2021-01-11 02:40:55,00:23:25,Autoplayed: user action: Unspecified; ,Schitt's Creek: Season 4: Open Mic (Episode 6),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:59,00:21:59,US (United States)
Anand,2021-01-11 01:13:06,00:21:55,,Schitt's Creek: Season 4: RIP Moira Rose (Episode 5),,NVIDIA SHIELD Android TV 2019 Set Top Box,00:21:58,00:21:58,US (United States)
